title,datetime,raw_txt
Patna: 12-year-old held for raping 5-year-old girl,2018-07-14T18:15:40+05:30,"PATNA: A team of   arrested a 12-year-old boy from village   under   area in Patna on Friday night who had allegedly raped a 5-year-old girl near the slums at road number 31 in  .

  The incident had come to light on July 8 after which an FIR was lodged with the Women’s police station on July 10. It was due to delay in lodging FIR and giving wrong information to seniors that Women's police station SHO Bibha Kumari was suspended by DIG (central range) Rajesh Kumar soon after the FIR was lodged.
 
  Newly appointed SHO Ravi Ranjana said that after investigations made till now, it surfaced that the incident actually took place on July 1 when the minor had gone near a government hand-pump near the slums located beside railway tracks at road number 31.
 
  “The accused, hardly 12-year-old, had forcibly taken the victim to a secluded place in the area covered by bushes where he had raped her,” SHO Ranjana said.
 
  She said that the matter remained under blanket as accused’s family were paying money for the treatment and medicines for the victim after the incident.
 
  “Even the victim’s family chose to keep the matter away from police due to social stigma,” she said.
 
  “It was after they stopped paying money and the child was not receiving proper medical attention, the victim’s family approached police,” she said.
 
  She said that the accused’s father died almost four years back and his mother collects honey from different area. The SHO said the accused was continually changing his location until he was caught from his maternal uncle’s house in Salimpur. “The minor girl’s parents are daily wagers,” Ranjana said.
 
  When asked, the SHO said that it was yet not clear that what instigated the boy to commit such a heinous crime.
 
  “Only after further investigation, it would surface that if he was in wrong circle or used to watch pornographic materials on cellphone,” she said.
 
  Ranjana said the accused is inconsistent in his statements. “He has confessed his crime but said that he doesn’t know how things happened. Several things including his mental condition needs to me medically examined to ensure if inconsistency in statement was due to his situation or he was misleading police,” SHO Ranjana said.
 
 
"
One more priest held in rape and molestation case in Kerala,2018-07-13T16:37:06+05:30,"KOTTAYAM: A priest of the   was arrested on Friday in a case regarding rape and sexual abuse of a married woman belonging to the fold.

 
 Johnson V Mathew was arrested from his home in   in Pathanamthitta district. He is the third accused in the case. The high court was set to pronounce its verdict on his bail plea on Friday. He was taken to the Crime Branch headquarters in Thiruvalla for interrogation. The priest is likely to be presented before the magistrate court and will be remanded in judicial custody. Unlike the other three accused priests in the case, section 376 (rape) is not charged against him and he is charged only with Section 354 (molestation).
 On Thursday, Father Job Mathew, second accused in the case, turned himself in at the police station in Kollam. He was also remanded in judicial custody. Two more accused priests are yet to be arrested. They are reportedly planning to approach the Supreme Court seeking anticipatory bail.
 
"
BJP MLA charged by CBI for framing Unnao rape victim's father in false Arms Act case,2018-07-13T18:05:01+05:30,"NEW DELHI: BJP MLA   was on Friday listed in a chargesheet by the CBI for framing the father of a minor girl, allegedly raped by the lawmaker in Unnao, in a false Arms Act case, officials said.

 
 Along with him nine others including the then Station Officer of Makhi police station, Ashok Singh Bhaduria, Sub-Inspector Kamta Prasad Singh, Constable Amir Khan, brother of the MLA Atul Singh Sengar were also named in the charge sheet, filed before a special CBI court in Lucknow.
 
 Four other accused have also been charged by the agency.
 
 Sengar is a four-time MLA from Bangarmau, a semi-urban area nearly 70 km from Lucknow, and enjoys immense clout in the area.
 
 The CBI recently named him in a charge sheet for allegedly raping the minor girl at his residence on June 4, 2017 night but the local police had not registered the FIR after the crime.
 
 The girl's father was booked by the local police on allegations of brandishing a country-made pistol and put in prison when he filed a case this year to bring Sengar to book on April 4. He was allegedly beaten up by the brother of the MLA and his aides.
 
 The police action had prompted the girl to attempt self-immolation in front of Chief Minister  's residence on April 8 to highlight the plight of her father. Next day, her father succumbed to his injuries.
 
 The CBI has charged the MLA, his brother, policemen and five others in IPC sections 120-B (criminal conspiracy), 166 (public servant disobeying law, with intent to cause injury to any person), 167 (Public servant framing an incorrect document with intent to cause injury), 193 (producing false evidence), 201 (destruction of evidence) among others.
 
 CBI's spokesperson said further investigation is on. 
 
"
Unnao rape survivor's family hopeful of getting justice,2018-07-13T09:39:33+05:30,"KANPUR: A day after CBI chargesheeted BJP MLA   in rape case, the family of Unnao rape survivor expressed satisfaction and hope that she would now get justice. 

 
 Her uncle told TOI that when his 17-year-old niece was told about the development and what the chargesheet meant she said that she is was quite hopeful of getting justice. "" I told her that filing of chargesheet is the first step towards getting justice. She was happy and expressed satisfaction,"" he added.
 
 Bangarmau MLA Sengar is accused of raping the minor on June 4 last year. He was arrested after CBI took over the probe on the high court order and is at present lodged in Sitapur jail. The CBI filed the chargesheet on Wednesday. In another chargesheet, the agency had named Sengar's brothers and his aides for torturing the survivor's father which led to his death.
 
 Talking to TOI, the survivor's uncle said the family's stand was vindicated and that the premier investigating agency based its charges against the MLA on the basis of evidence. He added that he had given all proof to the CBI against Sengar. ""Kuldeep got my elder brother wrongly implicated for possessing illegal firearm. He was thrashed so brutally by the MLA's brother and his men that he succumbed to his injuries. I have given more proof including phone call recordings against Kuldeep's active involvement in hatching a conspiracy for killing my brother,"" the survivor's uncle said. 
 
 The CBI on Wednesday had filed a charge sheet against Sengar and his adie Shashi under various sections of the IPC and Sections 3 and 4 of POCSO Act.
 
 
"
Hearing in Chinmayanand rape case deferred to September,2018-07-13T11:29:07+05:30,"SHAHJAHANPUR: The hearing date in the   against former Union minister   has been postponed due to unavailability of the case file. A week ago, fire broke out in the record room of the court of Chief judicial Magistrate and hundreds of case files were completely gutted.

 
 The CJM court had issued a bailable warrant against Chinmayanand during the last hearing. The former minister has once again approached the   against the warrant. His appeal will be heard by the HC on July 24.
 
 Chinmayanand was supposed to appear in the CJM Shikha Pradhan’s court on Thursday. However, since the case file was not available, the matter will be next heard on September 12. “We couldn’t argue much as the fire in the record room has destroyed many files and we are unsure whether the case file in this particular matter is safe or has it been destroyed,” said the rape survivor’s lawyer. Mukesh Gupta.
 
 TOI tried to speak with Swami Chinmayanand to take his reaction, but he wasn’t available.
 
 Meanwhile, the rape survivor’s husband said, “He has once again approached the high court. He is trying every tactic to finish this case. We have been issued threats by his people.”
 
 
"
"Surrogate mother accuses man of rape, cheating",2018-07-13T06:28:38+05:30,"AHMEDABAD: A thirty-year-old woman, a resident of Amraiwadi, lodged a complaint against Karansinh Chavda, a resident of Chankyapuri for raping her,   her of Rs 3 lakh — her fee for being a   — and threatening to spread compromising videos of her on social media.

 
 Police sources said the victim, who has two children, also accused Chavda of blackmail. She said he gave her the ‘choice’ of paying him Rs 10 lakh or having sex with his brother, Vijaysinh.
 
 “The woman said Chavda had helped her market her services as a commercial egg donor 67 times for a commission,” said a senior police official of Amraiwadi police station.
 
 Police sources said they have registered an offence under sections 376, 408, 420 and 506(7) against the accused and are hunting for him.
 
 According to the complaint, the woman said her ordeal began when she was forced to look for work when her husband became bed-ridden for about two years due to a road accident. “She initially participated in clinical trials with a private company on SG Road. During one clinical trial, a woman named Heena who worked at the company, introduced her to Chavda,” said a police source. The woman alleged that Chavda offered her help and took her to various offices to get her a job. “Chavda then began visiting her house in Amraiwadi. The woman said that during these visits, Chavda would rape her. Later, the woman alleged, Chavda forced her to become a commercial egg donor. Chavda told her he was unmarried and promised to marry her when the time was right,” said a senior police official.
 
 The FIR states that Chavda took her to a private hospital and made her provide her services as a surrogate mother in return for Rs 4 lakh. However, Chavda gave her Rs 1 lakh and kept Rs 3 lakh. Police officials said when the woman insisted that Chavda marry her, he called her to   bus stand and threatened her to keep her mouth shut by showing her intimate videos of her that he had shot. “Chavda also tried to blackmail her using the videos. He told her to pay him Rs 10 lakh or to hand over her minor daughter for one night. Unable to bear the torture, the woman attempted suicide on June 10, by consuming phenyl. She was rushed to LG Hospital and on regaining consciousness, she lodged a complaint with us,” said a police official.
 
 
"
"Will Amit Shah apologise for UP BJP MLA's remark on rape, asks Sena",2018-07-13T14:12:16+05:30,"MUMBAI: The Shiv Sena on Friday asked whether BJP president Amit Shah would apologise for his party's UP MLA's remark that even Lord Ram cannot curb rapes.

 
 The Sena's poser came a day after the BJP sought an apology from Congress president Rahul Gandhi for  's 'Hindu  ' remark.
 
 ""Tharoor said if the BJP wins the 2019 (Lok Sabha) polls, India will become 'Hindu Pakistan'. In short, if (Narendra) Modi is voted to power again, India will be declared a Hindu rashtra (nation).
 
 ""This is RSS's agenda, which Tharoor has only expressed from the Congress platform,"" the Sena said in an editorial in its mouthpiece ' '.
 
 The Lok Sabha MP from Thiruvananthapuram, Tharoor, had set off a political controversy on Wednesday with his remark that if voted to power again, the BJP will rewrite the Constitution and pave the way for creation of a ""Hindu Pakistan"".
 
 
 On Thursday, the BJP had demanded an apology from Gandhi for the ""attack on Indian democracy and Hindus"".
 
 ""The BJP wants Congress president Gandhi to apologise for Tharoor's remarks. But one needs to understand that Tharoor is only speaking the language of the BJP,"" the Sena said.
 
 ""One of its MLAs Surendra Narayan Singh had said even Lord Ram cannot curb rapes. His statement is an insult to Hindus. Shouldn't BJP chief Amit Shah apologise for his remark?"" it said.
 
 BJP MLA from Bairia in Uttar Pradesh, Singh, had recently said, ""Bhagwan Ram bhi aa jaayenge, tab bhi balaatkaar ki ghatna per niyantran nahi ho paayegaa (The incidents of rape cannot be curbed, even if Lord Ram descends on earth)"".
 
 The Sena said, ""India was divided because of the Congress. That party is responsible for the division. If Pakistan was founded on the basis of religious identity, then Hindustan is a Hindu rashtra.""
 
 ""The   always accused (Jawaharlal) Nehru, (Sardar) Patel and others of turning Hindustan into a 'secular' state. If Nehru and others had committed this mistake, then the country gave two opportunities to the BJP to rectify it.
 
 ""First during (Atal Bihari) Vajpayee's reign and now under Modi. It is not necessary to wait till 2019 to declare India a Hindu state. Modi can do it right now and we insist that he does it immediately,"" the Uddhav Thackeray-led party said.
 
 The situation in India is not such that it should be called 'Hindu Pakistan'. There is a different kind of anarchy in Pakistan, the Sena said.
 
 ""The democratic system in that country (Pakistan) is over. Inflation, unemployment, corruption and other evils are wreaking havoc. Those speaking truth are being eliminated there. Pakistan has been like this since its birth,"" it added.
 
 ""But have the problems in India been resolved? They still persist. After demonetisation, the financial condition of the poor worsened. The government seeks to save cows and sheep, but cannot stop farmers' suicides,"" the Sena said.
 
 Though the government has not been able to build a Ram temple in  , the Railways has announced Ramayan Express to touch the sentiments of the people, it said.
 
 ""Till the 2019 elections, such colourful balloons will be released in the air and new promises will be made. This cannot be called a 'Ram rajya',"" the party said. 
 
"
Dalit woman lodges rape complaint,2018-07-13T11:55:02+05:30,"RAJKOT: A 37-year-old   woman lodged a   of   against a resident of Kotharia Road in Rajkot on Wednesday night.

 
 The woman in her complaint, lodged with Virpur police station in  , alleged that Jignesh Sarpadadia alias Gopal had committed the crime by making false promise of marriage and taking her to different guest houses in Virpur where he had raped her. She accused him of raping her five times over past three months.
 
 “We have registered the case and sent the survivor for medical examination. We have launched a manhunt for Sarpadadia,” said an official from Virpur police station.
 
 
"
"CBI files fresh chargesheet against MLA Kuldeep Sengar, 3 UP cops for framing rape survivor's father in arms act case",2018-07-13T20:00:38+05:30,"NEW DELHI: The Central Bureau of Investigation ( ) on Friday filed another chargesheet against Unnao MLA Kuldeep Singh Sengar and his brother Atul Singh Senger along with then station officer of Makhi police station - Ashok Singh Bhaduria, sub-inspector Kamta Prasad Singh and constable Amir Khan for framing the father of the minor girl, who was allegedly raped by the legislator on June 4 last year.

 
 The agency has named five others - Shailendra Singh, Vineet Mishra, Birendra Singh, Ram Sharan Singh and Shashi Pratap Singh in its latest chargesheet.
 
 Sengar, four-time MLA from Bangarmau, a semi-urban area nearly 70 km from Lucknow, was chargesheeted earlier this week by CBI for allegedly raping the minor girl at his residence on the night of June 4, 2017. CBI has alleged that the local police had not registered the FIR after the crime.
 
 The girl's father was booked by the local police on allegations of brandishing a country-made pistol and put in prison when he filed a case this year. He was allegedly beaten up by the brother of the MLA and his aides.
 
 The police action had prompted the girl to attempt self-immolation in front of   Chief Minister Yogi Adityanath's residence on April 8 to highlight the plight of her father. Next day, her father succumbed to his injuries.
 
 The CBI has charged Sengar and the UP cops in IPC sections 120-B (criminal conspiracy), 166 (public servant disobeying law, with intent to cause injury to any person), 167 (Public servant framing an incorrect document with intent to cause injury), 193 (producing false evidence), 201 (destruction of evidence) and arms act.
 
 CBI spokesperson said further investigation is on.
 
"
"Haryana to refuse driving, arms licences to rape, molestation accused",2018-07-13T09:02:01+05:30,"CHANDIGARH: In a significant move, the Haryana Government on Thursday announced to bar the accused in rape and eve teasing cases from all government facilities like oldage pension, pension for the physically disabled persons, driving and weapon licences.

 The only thing they will be entitled would be the ration from the fair price shop, said CM Manohar Lal Khattar while chairing the state-level function on women empowerment in Panchkula, near here. This decision comes after the provisions of death penalty for the convicts of rape and murders of minor girl below the age of 12 year.
 
 “These services will remain suspended till a court announces verdict in the case. In case, the accused is convicted and sentenced, he would not be eligible for these facilities any more,’’ said Khattar while announcing ‘Ek aur Sudhar’ project launched in the programme.
 
 Khattar also announced that a comprehensive scheme for the safety and security of women would be launched either on Independence Day or on the occasion of Raksha Bandhan on August 26, 2018.
 
 He said that in case a rape survivor wanted to hire a lawyer of her choice apart form the one provided by the state government, she would be provided financial assistance of Rs 22,000 as fees. Provision of uninterrupted investigation in cases of rape and eve teasing would be made in all police stations.
 
 The investigation officer would have to complete the investigation into a rape case in one month, and, in eve teasing cases within 15 days, otherwise action would be taken against the cop.
 
 Six fast track courts would be set up in those districts where 50 or more cases of rape, eve teasing and mental harassment are pending in the courts. These include two in Faridabad and one each in Gurugram, Panipat, Sonipat and Nuh.
 
 “I would shortly meet the chief justice of the Punjab and Haryana high court to request him to issue necessary directions to the court to record the statement of a woman on the same day, and not to adjourn the hearing to any other day,” he added. 
 
  The CM launched ‘Durga Shakti’ mobile app. He also honoured four women for their outstanding contribution in different fields, including: first women bus driver of Sirsa district Pankaj Chaudhary, sarpanch of Dhonch village in Faridabad Nazma Khan, Kavita Sharma of village Bhadana district Jhajjar, and Manju Kaushik of Mahendergarh.
 
 He also launched ‘information education and communication’ (IEC) material for textbooks of schoolstudents to generate awareness among girls’ students about the Protection of Children from Sexual Offences (POCSO) Act and other related Acts.
 
 
"
